result,more,more-href
"226840",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=31"
"3170,25900,63910,203350,203358,289520,306340",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=39"
"730","",""
"481510",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=3"
"257850",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=18"
"363150",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=36"
"448510",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=20"
"281640",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=31"
"434050",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=31"
"530760",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=13"
"239140",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=9"
"446800",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=5"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=27"
"363890,426100,403870,405920","",""
"311210",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=12"
"47870",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=15"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=30"
"24720","",""
"222282",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=41"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=32"
"506500",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=30"
"383120",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=12"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=25"
"469820",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=39"
"310560",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=12"
"418370",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=3"
"553640",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=14"
"454140",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=37"
"249870",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=15"
"552450,564310",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=23"
"274190",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=18"
"489860",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=27"
"242760",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=2"
"415300",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=37"
"475550",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=25"
"362490",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=38"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=19"
"450530",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=13"
"311310",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=21"
"285920",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=23"
"306130",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=5"
"35720",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=9"
"420680",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=19"
"388475",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=29"
"292730",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=28"
"486690",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=11"
"513032",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=31"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=29"
"397340",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=34"
"283640",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=13"
"592700",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=16"
"274940",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=33"
"8980",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=22"
"232090",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=6"
"397950",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=31"
"507010",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=37"
"4760,4770",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=37"
"457197",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=30"
"383870",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=21"
"279940",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=33"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=20"
"440650",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=25"
"461244",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=24"
"105450",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=7"
"4570,4580,9310,9450",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=17"
"579320",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=38"
"304214",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=22"
"474763",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=39"
"383980",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=35"
"4700",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=18"
"411970",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=9"
"12110",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=38"
"48700",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=8"
"521150",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=16"
