title,description,release,summary,tags
"The Jackbox Party Pack 2","The sequel to the party game phenomenon The Jackbox Party Pack, featuring FIVE fresh, rib-tickling party games! Your phones or tablets are your controllers – no big mess of controllers needed. For up to 8 players plus an Audience of up to 10,000! It’s a game-night riot in a box… without the box!","Released: Oct 13, 2015","Overall user reviews:
			Very Positive
						(277 reviews)","[{""tags"":""Casual""},{""tags"":""Local Multiplayer""},{""tags"":""Indie""},{""tags"":""Strategy""},{""tags"":""Comedy""},{""tags"":""Local Co-Op""},{""tags"":""Multiplayer""},{""tags"":""Funny""},{""tags"":""Co-op""},{""tags"":""Board Game""},{""tags"":""Family Friendly""}]"
"Sins of a Solar Empire®: Rebellion","Command a space-faring empire in Sins of a Solar Empire: Rebellion, the new stand-alone expansion that combines 4X depth with real-time strategy gameplay.","Released: 12 Jun, 2012","Overall user reviews:
			Very Positive
						(4,922 reviews)","[{""tags"":""Strategy""},{""tags"":""Space""},{""tags"":""RTS""},{""tags"":""Sci-fi""},{""tags"":""4X""},{""tags"":""Multiplayer""},{""tags"":""Moddable""},{""tags"":""War""},{""tags"":""Aliens""},{""tags"":""Singleplayer""},{""tags"":""Diplomacy""},{""tags"":""Exploration""},{""tags"":""Action""},{""tags"":""Real-Time""},{""tags"":""Great Soundtrack""},{""tags"":""Co-op""},{""tags"":""Simulation""},{""tags"":""Grand Strategy""},{""tags"":""Indie""},{""tags"":""Adventure""}]"
"Clustertruck","Clustertruck is a chaotic physics based truckformer. Jump your way through insane levels in a game of ""the floor is lava"" on top of speeding trucks driven by terrible drivers.","Released: 27 Sep, 2016","Overall user reviews:
			Very Positive
						(2,243 reviews)","[{""tags"":""Parkour""},{""tags"":""Action""},{""tags"":""First-Person""},{""tags"":""Singleplayer""},{""tags"":""3D Platformer""},{""tags"":""Physics""},{""tags"":""Indie""},{""tags"":""Destruction""},{""tags"":""Fast-Paced""},{""tags"":""Difficult""},{""tags"":""Funny""},{""tags"":""Great Soundtrack""},{""tags"":""Strategy""},{""tags"":""Casual""},{""tags"":""Platformer""},{""tags"":""Level Editor""},{""tags"":""Multiplayer""},{""tags"":""Racing""},{""tags"":""Adventure""},{""tags"":""Memes""}]"
"Project Zomboid","Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, a massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die?","Released: 8 Nov, 2013","Overall user reviews:
			Very Positive
						(10,514 reviews)","[{""tags"":""Early Access""},{""tags"":""Survival""},{""tags"":""Zombies""},{""tags"":""Open World""},{""tags"":""Sandbox""},{""tags"":""Indie""},{""tags"":""Simulation""},{""tags"":""Multiplayer""},{""tags"":""RPG""},{""tags"":""Post-apocalyptic""},{""tags"":""Crafting""},{""tags"":""Co-op""},{""tags"":""Building""},{""tags"":""Survival Horror""},{""tags"":""Isometric""},{""tags"":""Singleplayer""},{""tags"":""2D""},{""tags"":""Realistic""},{""tags"":""Adventure""},{""tags"":""Real-Time with Pause""}]"
"Genital Jousting","Genital Jousting is an online and local multiplayer party game about flaccid penises and wiggly anuses for up to eight players at once.","Released: 17 Nov, 2016","Overall user reviews:
			Very Positive
						(1,666 reviews)","[{""tags"":""Early Access""},{""tags"":""Sexual Content""},{""tags"":""Nudity""},{""tags"":""Multiplayer""},{""tags"":""Memes""},{""tags"":""Action""},{""tags"":""Comedy""},{""tags"":""Indie""},{""tags"":""NSFW""},{""tags"":""Funny""},{""tags"":""Story Rich""},{""tags"":""Local Multiplayer""},{""tags"":""Illuminati""},{""tags"":""Great Soundtrack""},{""tags"":""Mature""}]"
"Stranded Deep","Take the role of a plane crash survivor stranded somewhere in the Pacific Ocean. Come face to face with some of the most life threatening scenarios that will result in a different experience each time you play. Scavenge. Discover. Survive.","Released: 23 Jan, 2015","Overall user reviews:
			Mostly Positive
						(15,996 reviews)","[{""tags"":""Early Access""},{""tags"":""Survival""},{""tags"":""Open World""},{""tags"":""Crafting""},{""tags"":""First-Person""},{""tags"":""Adventure""},{""tags"":""Realistic""},{""tags"":""Exploration""},{""tags"":""Multiplayer""},{""tags"":""Singleplayer""},{""tags"":""Building""},{""tags"":""Sandbox""},{""tags"":""Simulation""},{""tags"":""Underwater""},{""tags"":""Action""},{""tags"":""Atmospheric""},{""tags"":""Indie""},{""tags"":""Co-op""},{""tags"":""Strategy""},{""tags"":""Procedural Generation""}]"
"Ether One","Ether One is a first person adventure that deals with the fragility of the human mind. There are two paths in the world you can choose from. At its core is a story exploration path free from puzzles where you can unfold the story at your own pace.","Released: 25 Mar, 2014","Overall user reviews:
			Mostly Positive
						(242 reviews)","[{""tags"":""Adventure""},{""tags"":""Indie""},{""tags"":""First-Person""},{""tags"":""Exploration""},{""tags"":""Walking Simulator""},{""tags"":""Puzzle""},{""tags"":""Story Rich""},{""tags"":""Horror""},{""tags"":""Atmospheric""},{""tags"":""VR""},{""tags"":""Singleplayer""},{""tags"":""Casual""}]"
"Poly Bridge","Unleash your engineering creativity with an engaging and fresh bridge-building simulator with all the bells and whistles. Enjoy hours of physics-based puzzle solving in the Campaign and then jump in the Sandbox to create your own bridge designs and puzzles!","Released: 12 Jul, 2016","Overall user reviews:
			Very Positive
						(1,401 reviews)","[{""tags"":""Building""},{""tags"":""Simulation""},{""tags"":""Physics""},{""tags"":""Puzzle""},{""tags"":""Indie""},{""tags"":""Singleplayer""},{""tags"":""Sandbox""},{""tags"":""Crime""},{""tags"":""Strategy""},{""tags"":""Funny""},{""tags"":""Difficult""},{""tags"":""Casual""},{""tags"":""Great Soundtrack""},{""tags"":""Education""},{""tags"":""Crafting""}]"
"Gauntlet™ Slayer Edition","The classic Gauntlet 4-player co-op action gameplay returns in a completely new experience! Battle the endless hordes of foes as you and your friends fight for treasure and glory via both local and online co-op multiplayer. Invade the Darkness!","Released: 23 Sep, 2014","Overall user reviews:
			Mostly Positive
						(3,574 reviews)","[{""tags"":""Co-op""},{""tags"":""Dungeon Crawler""},{""tags"":""Action""},{""tags"":""RPG""},{""tags"":""Hack and Slash""},{""tags"":""Local Co-Op""},{""tags"":""Adventure""},{""tags"":""Multiplayer""},{""tags"":""Arcade""},{""tags"":""Remake""},{""tags"":""Classic""},{""tags"":""Fantasy""},{""tags"":""Top-Down""},{""tags"":""4 Player Local""},{""tags"":""Online Co-Op""},{""tags"":""Local Multiplayer""},{""tags"":""Action RPG""},{""tags"":""Isometric""},{""tags"":""Casual""},{""tags"":""Rogue-like""}]"
"Headlander","Launch into the ultimate head trip as you blast through psychotic robots in a retro 70's sci-fi action adventure from Double Fine Productions. It is a world of automation, a utopia gone wrong in which all of humanity have transferred their minds into robotic imposter bodies and are ruled by a...","Released: 25 Jul, 2016","Overall user reviews:
			Very Positive
						(197 reviews)","[{""tags"":""Action""},{""tags"":""Sci-fi""},{""tags"":""Comedy""},{""tags"":""Platformer""},{""tags"":""Metroidvania""},{""tags"":""Side Scroller""},{""tags"":""Retro""}]"
