title,description,release,summary,tags
"Exanima","Explore, fight, survive and unravel mysteries in this unique and unforgiving 3D isometric RPG set in an original dark, low fantasy world. Exanima's exceptional attention to detail and realistic simulation of all things aim to provide a deeply immersive and dynamic gameplay experience.","Released: Apr 29, 2015","Overall user reviews:
			Very Positive
						(2,013 reviews)","[{""tags"":""Early Access""},{""tags"":""RPG""},{""tags"":""Physics""},{""tags"":""Action""},{""tags"":""Dark Fantasy""},{""tags"":""Isometric""},{""tags"":""Adventure""},{""tags"":""Dungeon Crawler""},{""tags"":""Simulation""},{""tags"":""Difficult""},{""tags"":""Singleplayer""},{""tags"":""Medieval""},{""tags"":""Indie""},{""tags"":""Atmospheric""},{""tags"":""Rogue-like""},{""tags"":""Female Protagonist""},{""tags"":""Action RPG""},{""tags"":""Character Customization""},{""tags"":""Nudity""},{""tags"":""Horror""}]"
"NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst","Live the 4th Great Ninja War and its overpowering boss fights or defy your friends in ultra dynamic online and offline ninja confrontations!","Released: 24 Oct, 2013","Overall user reviews:
			Very Positive
						(5,913 reviews)","[{""tags"":""Anime""},{""tags"":""Fighting""},{""tags"":""Action""},{""tags"":""Adventure""},{""tags"":""Ninja""},{""tags"":""Multiplayer""},{""tags"":""Controller""},{""tags"":""Beat 'em up""},{""tags"":""Singleplayer""},{""tags"":""Fantasy""},{""tags"":""Open World""},{""tags"":""Great Soundtrack""},{""tags"":""Local Multiplayer""},{""tags"":""PvP""},{""tags"":""RPG""},{""tags"":""Third Person""},{""tags"":""Atmospheric""},{""tags"":""Co-op""},{""tags"":""Animation & Modeling""},{""tags"":""Local Co-Op""}]"
"Sniper Elite 3","Sniper Elite 3 is a tactical third-person shooter that combines stealth, gameplay choice and genre-defining ballistics with huge, open levels and the exotic terrain of World War 2 North Africa.","Released: 27 Jun, 2014","Overall user reviews:
			Very Positive
						(7,519 reviews)","[{""tags"":""Sniper""},{""tags"":""Action""},{""tags"":""Stealth""},{""tags"":""World War II""},{""tags"":""Shooter""},{""tags"":""Multiplayer""},{""tags"":""Adventure""},{""tags"":""Co-op""},{""tags"":""Third-Person Shooter""},{""tags"":""Tactical""},{""tags"":""Third Person""},{""tags"":""War""},{""tags"":""Singleplayer""},{""tags"":""Strategy""},{""tags"":""Online Co-Op""},{""tags"":""Open World""},{""tags"":""Gore""},{""tags"":""FPS""},{""tags"":""Atmospheric""},{""tags"":""Simulation""}]"
"Rocket League® - Hot Wheels® Twin Mill™ III","Powered by not one, but TWO blown big-block engines and dual front intakes, Hot Wheels® world famous Twin Mill™ III has arrived!","Released: 21 Feb, 2017","Overall user reviews:
			Very Positive
						(143 reviews)","[{""tags"":""Racing""},{""tags"":""Action""},{""tags"":""Indie""},{""tags"":""Sports""}]"
"Train Sim World®: CSX Heavy Haul","Train Sim World®: CSX Heavy Haul is an all-new First Person Simulator that brings to life the experience of operating powerful and heavy freight trains on one of America’s most stunning and famous railroads; Sand Patch Grade.","Released: Mar 16, 2017","Overall user reviews:
			Mixed
						(529 reviews)","[{""tags"":""Simulation""},{""tags"":""Trains""},{""tags"":""Realistic""},{""tags"":""Open World""},{""tags"":""Driving""},{""tags"":""Singleplayer""},{""tags"":""Casual""},{""tags"":""Relaxing""},{""tags"":""Action""},{""tags"":""Building""},{""tags"":""Atmospheric""},{""tags"":""Fishing""},{""tags"":""America""},{""tags"":""First-Person""},{""tags"":""Multiplayer""}]"
"Total War: WARHAMMER - Call of the Beastmen","Something stirs in the deep dark forests of The Old World… Call of the Beastmen adds a brand new playable Race to Total War: WARHAMMER: the Beastmen, alongside a host of other new features and mechanics.","Released: 28 Jul, 2016","Overall user reviews:
			Mixed
						(1,030 reviews)","[{""tags"":""Strategy""},{""tags"":""Action""},{""tags"":""Fantasy""},{""tags"":""War""},{""tags"":""RTS""},{""tags"":""Turn-Based Strategy""},{""tags"":""Multiplayer""}]"
"Verdun","Verdun is the first multiplayer FPS set in a realistic World War One setting. The merciless trench warfare offers a unique battlefield experience, immersing you and your squad into intense battles of attack and defense.","Released: Apr 28, 2015","Overall user reviews:
			Very Positive
						(16,313 reviews)","[{""tags"":""World War I""},{""tags"":""FPS""},{""tags"":""Multiplayer""},{""tags"":""Historical""},{""tags"":""War""},{""tags"":""Action""},{""tags"":""Realistic""},{""tags"":""Shooter""},{""tags"":""First-Person""},{""tags"":""Military""},{""tags"":""Tactical""},{""tags"":""Simulation""},{""tags"":""Strategy""},{""tags"":""Team-Based""},{""tags"":""Indie""},{""tags"":""Co-op""},{""tags"":""Atmospheric""},{""tags"":""Singleplayer""},{""tags"":""Adventure""},{""tags"":""Gore""}]"
"Music Maker 2017 Steam Edition","With the Music Maker Steam Edition, making your own music has never been simpler. Produce your own songs easily on your PC using the mouse and keyboard. Start pumping feel good sounds through your speakers in just a few clicks!","Released: 8 Aug, 2016","Overall user reviews:
			Mixed
						(13 reviews)","[{""tags"":""Audio Production""}]"
"FTL: Faster Than Light","This ""spaceship simulation roguelike-like"" allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.","Released: 14 Sep, 2012","Overall user reviews:
			Overwhelmingly Positive
						(27,817 reviews)","[{""tags"":""Rogue-like""},{""tags"":""Space""},{""tags"":""Indie""},{""tags"":""Sci-fi""},{""tags"":""Strategy""},{""tags"":""Singleplayer""},{""tags"":""Perma Death""},{""tags"":""Difficult""},{""tags"":""Replay Value""},{""tags"":""Real-Time with Pause""},{""tags"":""Great Soundtrack""},{""tags"":""2D""},{""tags"":""Simulation""},{""tags"":""Survival""},{""tags"":""Rogue-lite""},{""tags"":""Adventure""},{""tags"":""Pixel Graphics""},{""tags"":""RPG""},{""tags"":""Atmospheric""},{""tags"":""Casual""}]"
"XCOM 2 - Reinforcement Pack","Bolster your ranks with three themed DLC packs available together for an amazing discounted value*. Each themed content pack will add unique new twists to the core game experience.","Released: 4 Feb, 2016","Overall user reviews:
			Mixed
						(206 reviews)","[{""tags"":""Strategy""},{""tags"":""Turn-Based Strategy""},{""tags"":""Aliens""}]"
"Fantasy Grounds","Fantasy Grounds is a hybrid application which allows you to play and create your own RPG games. It facilitates this play and provides some optional add-on Adventure modules which can be loaded and played with very little preparation. Each game will require a GameMaster (GM) and one or more players.","Released: May 9, 2014","Overall user reviews:
			Mostly Positive
						(170 reviews)","[{""tags"":""RPG""},{""tags"":""Strategy""},{""tags"":""Software""},{""tags"":""Indie""},{""tags"":""Turn-Based""},{""tags"":""Online Co-Op""},{""tags"":""Fantasy""},{""tags"":""Story Rich""},{""tags"":""Utilities""},{""tags"":""Sandbox""},{""tags"":""Game Development""},{""tags"":""Party-Based RPG""},{""tags"":""Multiplayer""}]"
"null","null","null","null","[]"
"Ultra Street Fighter® IV","The world’s greatest fighting game evolves to a whole new level with Ultra Street Fighter IV.","Released: 7 Aug, 2014","Overall user reviews:
			Very Positive
						(5,176 reviews)","[{""tags"":""Fighting""},{""tags"":""Arcade""},{""tags"":""Competitive""},{""tags"":""2D Fighter""},{""tags"":""Action""},{""tags"":""Local Multiplayer""},{""tags"":""Multiplayer""},{""tags"":""Controller""},{""tags"":""e-sports""},{""tags"":""Difficult""},{""tags"":""Classic""},{""tags"":""Anime""},{""tags"":""Singleplayer""},{""tags"":""Great Soundtrack""},{""tags"":""2.5D""},{""tags"":""Beat 'em up""},{""tags"":""2D""},{""tags"":""Local Co-Op""},{""tags"":""Adventure""},{""tags"":""3D Vision""}]"
"VEGAS Movie Studio 13 Platinum - Steam Powered","Create spectacular-looking movies in native 4K (ultra HD). Produce 3D video with innovative stereoscopic 3D editing tools. Add finesse, effects, a soundtrack, titles and much more to your video.","Released: 5 Feb, 2015","Overall user reviews:
			Mostly Positive
						(577 reviews)","[{""tags"":""Video Production""}]"
"The Isle","The Isle is an open-world survival game where players choose from three factions in an attempt to survive a fierce island. Hunt. Prey. Survive.","Released: 1 Dec, 2015","Overall user reviews:
			Mixed
						(3,837 reviews)","[{""tags"":""Early Access""},{""tags"":""Dinosaurs""},{""tags"":""Survival""},{""tags"":""Open World""},{""tags"":""Massively Multiplayer""},{""tags"":""Multiplayer""},{""tags"":""Simulation""},{""tags"":""Adventure""},{""tags"":""Action""},{""tags"":""Hunting""},{""tags"":""Realistic""},{""tags"":""Third Person""},{""tags"":""Indie""},{""tags"":""Co-op""},{""tags"":""Team-Based""},{""tags"":""Walking Simulator""},{""tags"":""Strategy""},{""tags"":""Singleplayer""},{""tags"":""RPG""},{""tags"":""Sandbox""}]"
"Endless Space® 2","The sequel to the two-time Unity-award winning Endless Space! Endless Space 2 is turn-based, 4X space-strategy that will put you in the fascinating role of a leader guiding a civilization in making its first steps into the cold depths of interstellar space. Your Vision. Their Future.","Released: 6 Oct, 2016","Overall user reviews:
			Very Positive
						(833 reviews)","[{""tags"":""Early Access""},{""tags"":""Strategy""},{""tags"":""Space""},{""tags"":""Sci-fi""},{""tags"":""4X""},{""tags"":""Turn-Based""},{""tags"":""Turn-Based Strategy""},{""tags"":""Indie""},{""tags"":""Great Soundtrack""}]"
"Day of Infamy","The creators of Insurgency present the next installment of their successful FPS platform with Day of Infamy. Featuring tactical close-quarters WWII combat across a wide range of multiplayer and coop scenarios, Day of Infamy is a highly intense teamwork-rewarding experience.","Released: 28 Jul, 2016","Overall user reviews:
			Very Positive
						(2,825 reviews)","[{""tags"":""Early Access""},{""tags"":""World War II""},{""tags"":""FPS""},{""tags"":""Action""},{""tags"":""Realistic""},{""tags"":""Multiplayer""},{""tags"":""Strategy""},{""tags"":""Gore""},{""tags"":""Tactical""},{""tags"":""War""},{""tags"":""Military""},{""tags"":""Shooter""},{""tags"":""Indie""},{""tags"":""Co-op""},{""tags"":""Singleplayer""},{""tags"":""First-Person""}]"
"Europa Universalis IV: Mare Nostrum","Mare Nostrum introduces new systems connected to naval warfare and control of trade. The power of your fleets will depend on the number of sailors your nation can gather, and your ships can now be given missions and areas to patrol.","Released: 5 Apr, 2016","Overall user reviews:
			Mixed
						(173 reviews)","[{""tags"":""Strategy""},{""tags"":""Simulation""}]"
"The Wild Eight","The Wild Eight is an unforgiving survival game set in Alaska full of mystery and danger. Explore, hunt and craft shoulder-to-shoulder with friends or random players online. Unless you are brave enough to survive this nightmare on your own?","Released: 8 Feb, 2017","Overall user reviews:
			Mostly Positive
						(1,464 reviews)","[{""tags"":""Early Access""},{""tags"":""Survival""},{""tags"":""Adventure""},{""tags"":""Multiplayer""},{""tags"":""Co-op""},{""tags"":""Open World""},{""tags"":""Crafting""},{""tags"":""Indie""},{""tags"":""Action""},{""tags"":""Online Co-Op""},{""tags"":""Simulation""},{""tags"":""Singleplayer""},{""tags"":""Atmospheric""},{""tags"":""Sandbox""},{""tags"":""RPG""},{""tags"":""Difficult""},{""tags"":""Strategy""},{""tags"":""Survival Horror""},{""tags"":""Horror""},{""tags"":""Rogue-like""}]"
"Guns of Icarus Online","Guns of Icarus Online is the premier airship combat game. With a good ship and the right crew, you can conquer the skies!","Released: 29 Oct, 2012","Overall user reviews:
			Very Positive
						(8,314 reviews)","[{""tags"":""Steampunk""},{""tags"":""Team-Based""},{""tags"":""Multiplayer""},{""tags"":""Co-op""},{""tags"":""Action""},{""tags"":""Tactical""},{""tags"":""Indie""},{""tags"":""Competitive""},{""tags"":""Simulation""},{""tags"":""Adventure""},{""tags"":""Flight""},{""tags"":""FPS""},{""tags"":""Strategy""},{""tags"":""Online Co-Op""},{""tags"":""PvP""},{""tags"":""First-Person""},{""tags"":""Shooter""},{""tags"":""Class-Based""},{""tags"":""Kickstarter""},{""tags"":""Massively Multiplayer""}]"
"PAYDAY 2: John Wick Heists","THE LEGEND IS BACK IN TOWNThe John Wick Heist Pack is the 38th DLC pack for PAYDAY 2. The John Wick Heist Pack comes with 2 brand-new Heists: Brooklyn 10-10 and Yacht Heist, 2 new weapons, 4 masks, patterns, materials, 2 songs and 12 new achievements.","Released: 9 Feb, 2017","Overall user reviews:
			Mixed
						(136 reviews)","[{""tags"":""Action""},{""tags"":""RPG""},{""tags"":""Violent""}]"
"Urban Empire","Urban Empire is a ‘City Ruler’, pioneering a new breed of strategy game that combines city builder features with political scheming and adds profound social and historical events into the mix, creating a whole new gameplay experience.","Released: 20 Jan, 2017","Overall user reviews:
			Mixed
						(1,243 reviews)","[{""tags"":""Strategy""},{""tags"":""Simulation""},{""tags"":""City Builder""},{""tags"":""Politics""},{""tags"":""Management""},{""tags"":""Economy""},{""tags"":""Historical""},{""tags"":""RPG""}]"
"South Park™: The Fractured but Whole™","From the creators of South Park, Trey Parker and Matt Stone, comes South Park: The Fractured but Whole, a sequel to 2014's award-winning South Park: The Stick of Truth.","Available: December 31, 2017","null","[{""tags"":""RPG""},{""tags"":""Comedy""},{""tags"":""Funny""},{""tags"":""Dark Humor""},{""tags"":""Superhero""},{""tags"":""Memes""},{""tags"":""Singleplayer""},{""tags"":""Mature""},{""tags"":""Adventure""},{""tags"":""Cartoon""},{""tags"":""Story Rich""},{""tags"":""Action""},{""tags"":""Nudity""},{""tags"":""Satire""},{""tags"":""Illuminati""},{""tags"":""Open World""},{""tags"":""2D""},{""tags"":""Turn-Based""},{""tags"":""Atmospheric""},{""tags"":""Psychological Horror""}]"
"Orwell","Big Brother has arrived - and it’s you. Investigate the lives of citizens to find those responsible for a series of terror attacks. Information from the internet, personal communications and private files are all accessible to you. But, be warned, the information you supply will have consequences.","Released: 27 Oct, 2016","Overall user reviews:
			Very Positive
						(1,683 reviews)","[{""tags"":""Indie""},{""tags"":""Story Rich""},{""tags"":""Choices Matter""},{""tags"":""Singleplayer""},{""tags"":""Interactive Fiction""},{""tags"":""Politics""},{""tags"":""Political""},{""tags"":""Dystopian ""},{""tags"":""Hacking""},{""tags"":""Adventure""},{""tags"":""Simulation""},{""tags"":""Episodic""},{""tags"":""Atmospheric""},{""tags"":""Detective""},{""tags"":""Mouse only""},{""tags"":""Great Soundtrack""},{""tags"":""Visual Novel""}]"
"Borderlands","Lock, Load, & Face the MadnessGet ready for the mind blowing insanity! Play as one of four trigger-happy mercenaries and take out everything that stands in your way!With its addictive action, frantic first-person shooter combat, massive arsenal of weaponry, RPG elements and four-player co-op*,...","Released: Oct 26, 2009","Overall user reviews:
			Very Positive
						(12,869 reviews)","[{""tags"":""FPS""},{""tags"":""RPG""},{""tags"":""Co-op""},{""tags"":""Action""},{""tags"":""Loot""},{""tags"":""Online Co-Op""},{""tags"":""Shooter""},{""tags"":""First-Person""},{""tags"":""Comedy""},{""tags"":""Sci-fi""},{""tags"":""Open World""},{""tags"":""Multiplayer""},{""tags"":""Post-apocalyptic""},{""tags"":""Singleplayer""},{""tags"":""Action RPG""},{""tags"":""Funny""},{""tags"":""Adventure""},{""tags"":""Dark Humor""},{""tags"":""Gore""},{""tags"":""Local Co-Op""}]"
"H1Z1 : Just Survive","In H1Z1: Just Survive, you’ll have to be cutthroat, resourceful, and alert to protect yourself from zombies, beasts, and the deadliest threat of all – your fellow humans.","Released: 15 Jan, 2015","Overall user reviews:
			Mixed
						(63,277 reviews)","[{""tags"":""Early Access""},{""tags"":""Zombies""},{""tags"":""Survival""},{""tags"":""Open World""},{""tags"":""Multiplayer""},{""tags"":""Massively Multiplayer""},{""tags"":""Crafting""},{""tags"":""Post-apocalyptic""},{""tags"":""Action""},{""tags"":""Survival Horror""},{""tags"":""Co-op""},{""tags"":""Shooter""},{""tags"":""Adventure""},{""tags"":""Sandbox""},{""tags"":""Exploration""},{""tags"":""FPS""},{""tags"":""Walking Simulator""},{""tags"":""Horror""},{""tags"":""Simulation""},{""tags"":""RPG""}]"
"Age of Mythology: Extended Edition","Age of Mythology is back! Choose your god and take to the battlefield in this classic, upgraded with full Steamworks integration and enhanced features.","Released: 8 May, 2014","Overall user reviews:
			Very Positive
						(6,345 reviews)","[{""tags"":""Strategy""},{""tags"":""RTS""},{""tags"":""Mythology""},{""tags"":""Classic""},{""tags"":""Multiplayer""},{""tags"":""Great Soundtrack""},{""tags"":""Singleplayer""},{""tags"":""Fantasy""},{""tags"":""Simulation""},{""tags"":""Atmospheric""},{""tags"":""Historical""},{""tags"":""Adventure""},{""tags"":""Story Rich""},{""tags"":""Real-Time""},{""tags"":""Tactical""},{""tags"":""Co-op""},{""tags"":""Remake""},{""tags"":""Action""},{""tags"":""Sandbox""},{""tags"":""RPG""}]"
"Conan Exiles","An open-world survival game set in the brutal lands of Conan the Barbarian! Survive in a hostile world, build your kingdom, and dominate your enemies in both single and multiplayer!","Released: 30 Jan, 2017","Overall user reviews:
			Mixed
						(8,967 reviews)","[{""tags"":""Early Access""},{""tags"":""Survival""},{""tags"":""Open World""},{""tags"":""Nudity""},{""tags"":""Crafting""},{""tags"":""Building""},{""tags"":""Multiplayer""},{""tags"":""RPG""},{""tags"":""Massively Multiplayer""},{""tags"":""Violent""},{""tags"":""Gore""},{""tags"":""Action""},{""tags"":""Sandbox""},{""tags"":""PvP""},{""tags"":""Adventure""},{""tags"":""Exploration""},{""tags"":""Singleplayer""},{""tags"":""Fantasy""},{""tags"":""Co-op""},{""tags"":""Online Co-Op""}]"
"Grand Theft Auto IV","What does the American dream mean today? For Niko Bellic fresh off the boat from Europe, it is the hope he can escape from his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity.","Released: 2 Dec, 2008","Overall user reviews:
			Mixed
						(33,461 reviews)","[{""tags"":""Open World""},{""tags"":""Action""},{""tags"":""Bowling""},{""tags"":""Multiplayer""},{""tags"":""Third Person""},{""tags"":""Adventure""},{""tags"":""Crime""},{""tags"":""Moddable""},{""tags"":""Sandbox""},{""tags"":""Third-Person Shooter""},{""tags"":""Singleplayer""},{""tags"":""Shooter""},{""tags"":""Physics""},{""tags"":""Atmospheric""},{""tags"":""Classic""},{""tags"":""Funny""},{""tags"":""Dark Humor""},{""tags"":""Co-op""},{""tags"":""Gore""},{""tags"":""Satire""}]"
"Move or Die","Move or Die is an absurdly fast-paced, 4-player local and online party game where the mechanics change every 20 seconds. The very definition of a perfect friendship-ruining game.","Released: 21 Jan, 2016","Overall user reviews:
			Very Positive
						(3,782 reviews)","[{""tags"":""Multiplayer""},{""tags"":""Funny""},{""tags"":""Action""},{""tags"":""Local Multiplayer""},{""tags"":""Indie""},{""tags"":""Fast-Paced""},{""tags"":""2D""},{""tags"":""4 Player Local""},{""tags"":""Casual""},{""tags"":""Platformer""},{""tags"":""Online Co-Op""},{""tags"":""Competitive""},{""tags"":""Local Co-Op""},{""tags"":""Great Soundtrack""},{""tags"":""Singleplayer""},{""tags"":""Memes""},{""tags"":""Gore""}]"
"SENRAN KAGURA ESTIVAL VERSUS - Shinovi Versus Background Music","The high-flying, high-bouncing ninja girls of SENRAN KAGURA return, this time with more moves, more playable characters, more story and attitude, and more destruction online with matches that can support up to 10 players.","Released: 17 Mar, 2017","Overall user reviews:
			5 user reviews","[{""tags"":""Action""},{""tags"":""Nudity""}]"
"Mass Effect","As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy. Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!","Released: 19 Dec, 2008","Overall user reviews:
			Very Positive
						(7,758 reviews)","[{""tags"":""RPG""},{""tags"":""Sci-fi""},{""tags"":""Story Rich""},{""tags"":""Action""},{""tags"":""Third-Person Shooter""},{""tags"":""Singleplayer""},{""tags"":""Space""},{""tags"":""Great Soundtrack""},{""tags"":""Third Person""},{""tags"":""Female Protagonist""},{""tags"":""Shooter""},{""tags"":""Adventure""},{""tags"":""Choices Matter""},{""tags"":""Open World""},{""tags"":""Real-Time with Pause""},{""tags"":""Atmospheric""},{""tags"":""Character Customization""},{""tags"":""Romance""},{""tags"":""Action RPG""},{""tags"":""Dark Fantasy""}]"
"Clone Drone in the Danger Zone","Clone Drone in the Danger Zone is a third person sword fighter where any part of your body can be sliced off. With your mind downloaded into a robot gladiator, you must survive the sinister trials of the arena.","Released: 16 Mar, 2017","Overall user reviews:
			Very Positive
						(93 reviews)","[{""tags"":""Early Access""},{""tags"":""Action""},{""tags"":""Indie""},{""tags"":""Swordplay""},{""tags"":""Robots""},{""tags"":""Fighting""},{""tags"":""Voxel""},{""tags"":""Funny""},{""tags"":""Futuristic""},{""tags"":""Comedy""},{""tags"":""Dark Humor""},{""tags"":""Philisophical""},{""tags"":""Singleplayer""}]"
"Shantae: Half-Genie Hero","Shantae embarks on her first full HD adventure! When a mysterious crime wave sweeps Sequin Land, it’s up to Half-Genie Hero Shantae to save the day! Use Shantae’s devastating Hair-Whip Attack to send monsters flying, or Belly Dance to transform her into more powerful forms!","Released: 20 Dec, 2016","Overall user reviews:
			Very Positive
						(858 reviews)","[{""tags"":""Platformer""},{""tags"":""Female Protagonist""},{""tags"":""Great Soundtrack""},{""tags"":""Action""},{""tags"":""Adventure""},{""tags"":""Cute""},{""tags"":""Indie""},{""tags"":""Metroidvania""},{""tags"":""2D""},{""tags"":""Singleplayer""},{""tags"":""Anime""},{""tags"":""Kickstarter""},{""tags"":""Funny""},{""tags"":""Side Scroller""},{""tags"":""Fantasy""},{""tags"":""Comedy""},{""tags"":""2.5D""}]"
"Game Dev Tycoon","In Game Dev Tycoon you replay the history of the gaming industry by starting your own video game development company in the 80s. Create best selling games. Research new technologies and invent new game types. Become the leader of the market and gain worldwide fans.","Released: Aug 29, 2013","Overall user reviews:
			Overwhelmingly Positive
						(20,577 reviews)","[{""tags"":""Simulation""},{""tags"":""Management""},{""tags"":""Indie""},{""tags"":""Strategy""},{""tags"":""Casual""},{""tags"":""Singleplayer""},{""tags"":""Economy""},{""tags"":""2D""},{""tags"":""Moddable""},{""tags"":""Replay Value""},{""tags"":""Funny""},{""tags"":""Sandbox""},{""tags"":""GameMaker""},{""tags"":""Point & Click""},{""tags"":""Difficult""},{""tags"":""Great Soundtrack""},{""tags"":""Touch-Friendly""},{""tags"":""Comedy""},{""tags"":""Adventure""},{""tags"":""Isometric""}]"
"Papers, Please","Congratulations. The October labor lottery is complete. Your name was pulled. For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint. An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","Released: Aug 8, 2013","Overall user reviews:
			Overwhelmingly Positive
						(16,591 reviews)","[{""tags"":""Indie""},{""tags"":""Political""},{""tags"":""Simulation""},{""tags"":""Point & Click""},{""tags"":""Singleplayer""},{""tags"":""Dystopian ""},{""tags"":""Puzzle""},{""tags"":""Retro""},{""tags"":""Pixel Graphics""},{""tags"":""Multiple Endings""},{""tags"":""Adventure""},{""tags"":""Atmospheric""},{""tags"":""Strategy""},{""tags"":""Casual""},{""tags"":""Story Rich""},{""tags"":""2D""},{""tags"":""Great Soundtrack""},{""tags"":""Replay Value""},{""tags"":""Difficult""},{""tags"":""Surreal""}]"
"The Sims 3: University Life","Create and control Sims by customizing everything from their appearances and personalities to their homes. Then send them off to university where they will enjoy new opportunities, like social connections and career growth.","Released: Mar 5, 2013","Overall user reviews:
			Very Positive
						(65 reviews)","[{""tags"":""Simulation""},{""tags"":""Singleplayer""}]"
"Hollow Knight","Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend bizarre bugs, all in a classic, hand-drawn 2D style.","Released: 24 Feb, 2017","Overall user reviews:
			Very Positive
						(1,455 reviews)","[{""tags"":""Metroidvania""},{""tags"":""Indie""},{""tags"":""Adventure""},{""tags"":""Action""},{""tags"":""Platformer""},{""tags"":""Great Soundtrack""},{""tags"":""Atmospheric""},{""tags"":""2D""},{""tags"":""Hand-drawn""},{""tags"":""Difficult""},{""tags"":""Exploration""},{""tags"":""Singleplayer""},{""tags"":""Open World""},{""tags"":""Dark Fantasy""}]"
"FSX Steam Edition: Airbus A318/A319 Add-On","Fly-by-wire fans rejoice! This add-on is a high fidelity and massively detailed rendition of the Airbus A318 and A319 for FSX: Steam Edition. Developed by Aerosoft, this add-on contains exquisite models as well as all of the systems that are used in day to day flights in the real world.","Released: 16 Mar, 2017","Overall user reviews:
			9 user reviews","[{""tags"":""Simulation""}]"
"Dig or Die","Crash land on an hostile planet where you'll have to build the strongest defenses if you wish to live to escape from it. But be warned... this planet is merciless. Build strong, and smart; else physics may flood or destroy your only hopes of survival.","Released: 4 Mar, 2015","Overall user reviews:
			Very Positive
						(1,975 reviews)","[{""tags"":""Early Access""},{""tags"":""Sandbox""},{""tags"":""Survival""},{""tags"":""Crafting""},{""tags"":""2D""},{""tags"":""Indie""},{""tags"":""Action""},{""tags"":""Strategy""},{""tags"":""Open World""},{""tags"":""Tower Defense""},{""tags"":""RPG""},{""tags"":""Pixel Graphics""},{""tags"":""Singleplayer""},{""tags"":""Physics""},{""tags"":""Building""},{""tags"":""Adventure""},{""tags"":""Base Building""},{""tags"":""Multiplayer""},{""tags"":""Platformer""},{""tags"":""Co-op""}]"
"Brick Rigs","Brick Rigs is a sandbox building and driving game with dynamic destruction physics.","Released: 7 Nov, 2016","Overall user reviews:
			Very Positive
						(262 reviews)","[{""tags"":""Early Access""},{""tags"":""Simulation""},{""tags"":""LEGO""},{""tags"":""Destruction""},{""tags"":""Sandbox""},{""tags"":""Building""},{""tags"":""Multiplayer""},{""tags"":""Driving""},{""tags"":""Physics""},{""tags"":""Open World""},{""tags"":""Family Friendly""},{""tags"":""Funny""},{""tags"":""Racing""}]"
"Hawk for DCS World","Hawk focuses on the world-famous BAE Hawk T.1A trainer used in multiple countries and air forces around the world and more famously known to be used by the Royal Air Force Red Arrows aerobatic team.","Released: 1 Apr, 2015","Overall user reviews:
			Mixed
						(44 reviews)","[{""tags"":""Simulation""}]"
"Grim Dawn - Crucible Mode DLC","The Crucible DLC introduces a challenging new arena gameplay mode to the Action RPG Grim Dawn. Enter the Crucible, a harsh battleground filled with waves of Grim Dawn’s deadliest fiends. There you will engage in magnificent combat for the amusement of the Crucible’s mysterious overlord, Lokarr.","Released: 3 Aug, 2016","Overall user reviews:
			Very Positive
						(275 reviews)","[{""tags"":""RPG""},{""tags"":""Action""},{""tags"":""Adventure""},{""tags"":""Indie""}]"
"Thumper","Thumper is rhythm violence: classic rhythm-action, blistering speed, and brutal physicality. You are a space beetle. Brave the hellish void and confront a maniacal giant head from the future.","Released: 10 Oct, 2016","Overall user reviews:
			Overwhelmingly Positive
						(865 reviews)","[{""tags"":""Indie""},{""tags"":""Action""},{""tags"":""Rhythm""},{""tags"":""Psychedelic""},{""tags"":""Great Soundtrack""},{""tags"":""Music""},{""tags"":""Atmospheric""},{""tags"":""Singleplayer""},{""tags"":""Dark""},{""tags"":""Arcade""},{""tags"":""VR""},{""tags"":""Horror""},{""tags"":""Racing""},{""tags"":""Lovecraftian""},{""tags"":""Fantasy""},{""tags"":""Fast-Paced""},{""tags"":""Dark Fantasy""},{""tags"":""Difficult""},{""tags"":""Action-Adventure""},{""tags"":""Psychological Horror""}]"
"Borderlands: The Pre-Sequel Season Pass","Extend the lunar mayhem with the Borderlands: The Pre-Sequel Season Pass featuring new characters, challenges, missions, and more! Harness the power of your good looks with the “Handsome Jack” Character Pack; raise your level cap & battle waves of enemies in The Holodome Onslaught; and two more...","Released: 24 Mar, 2015","Overall user reviews:
			Mixed
						(340 reviews)","[{""tags"":""RPG""},{""tags"":""Action""},{""tags"":""FPS""},{""tags"":""Co-op""},{""tags"":""Shooter""},{""tags"":""Comedy""},{""tags"":""Loot""},{""tags"":""Multiplayer""},{""tags"":""Funny""},{""tags"":""Open World""}]"
